

gen best mean std
0 65.734699 7.776542 17.497476
1 65.734699 11.4567 17.459422
2 74.879703 16.131492 19.125884
3 86.466602 19.408921 20.060677
4 86.466602 22.532206 19.44316
5 87.003556 24.256091 18.900109
6 87.003556 26.018262 19.362765
7 87.003556 28.384182 19.839913
8 87.003556 33.100241 19.605865
9 87.003556 36.196229 18.874158
10 87.003556 38.166621 19.607331
11 87.003556 39.50016 19.735945
12 87.011736 41.225284 20.036594
13 87.011736 43.211272 20.274937
14 87.011736 45.259301 20.201916
15 87.011736 47.229468 20.184668
16 88.013791 48.589982 20.127761
17 88.013791 49.994012 19.260675
18 88.013791 51.273081 19.360451
19 88.013791 51.635485 19.301636
20 88.013791 52.523054 18.9855
21 88.013791 52.887947 19.0193
22 88.013791 54.08246 19.056274
23 88.013791 54.670227 19.13609
24 88.013791 55.031199 19.085797
25 88.013791 56.58237 18.9736
26 88.013791 57.299342 18.930505
27 88.013791 58.307041 18.582125
28 88.013791 58.940367 18.734175
29 88.013791 59.520088 18.636517
30 88.013791 60.854768 17.71898
31 88.013791 62.017835 17.195045
32 88.013791 62.107855 17.237981
33 88.013791 62.935567 17.065449
34 88.013791 63.934038 16.961094
35 88.013791 64.713085 16.153853
36 88.013791 66.359012 15.389792
37 88.013791 66.449012 15.35976
38 88.013791 67.292989 15.163953
39 88.013791 67.640763 14.50562
40 88.013791 67.640763 14.50562
41 88.013791 68.287234 14.296527
42 88.013791 68.846257 14.09449
43 88.993424 69.347005 13.919055
44 88.993424 69.885875 13.303262
45 88.993424 69.887472 13.300647
46 89.393424 70.018894 13.246491
47 89.393424 70.47472 12.83807
48 89.393424 70.47472 12.83807
49 89.393424 70.925477 12.126011
