

gen best mean std
0 92.103357 31.195684 40.869079
1 92.103357 39.435774 42.161129
2 92.756369 52.178769 41.970227
3 92.756369 62.817198 39.587859
4 93.671732 75.374715 31.488542
5 93.68385 80.527214 25.711026
6 93.68385 85.374713 19.226892
7 93.798216 87.342027 16.952201
8 93.798216 90.323084 8.06817
9 93.798216 90.624525 7.92261
10 93.798216 90.712656 7.901721
11 93.798216 91.085028 7.202786
12 93.798216 91.14238 7.209116
13 94.054253 91.219286 7.22194
14 94.054253 91.335369 7.150161
15 94.054253 92.070161 0.927689
16 94.054253 92.119417 0.918344
17 94.054253 92.123872 0.919529
18 94.054253 92.156556 0.900226
19 94.458358 92.238758 0.89687
20 94.458358 92.299839 0.889517
21 94.458358 92.343503 0.844849
22 94.458358 92.366593 0.855122
23 94.458358 92.398768 0.860325
24 94.458358 92.474574 0.806418
25 94.458358 92.517862 0.806571
26 94.458358 92.537858 0.791574
27 94.458358 92.559055 0.766302
28 94.458358 92.586159 0.764678
29 94.458358 92.631359 0.744988
30 94.458358 92.670794 0.754622
31 94.458358 92.684173 0.735479
32 94.458358 92.704551 0.743745
33 94.458358 92.731995 0.720361
34 94.458358 92.745735 0.706787
35 94.458358 92.748423 0.704235
36 94.458358 92.75912 0.708069
37 94.458358 92.794602 0.70294
38 94.458358 92.818909 0.69742
39 94.458358 92.856499 0.687558
40 94.458358 92.857967 0.68674
41 94.458358 92.886643 0.69213
42 94.458358 92.899626 0.686436
43 94.458358 92.90624 0.689665
44 94.471733 92.942192 0.6804
45 94.471733 92.969537 0.65261
46 94.471733 92.979553 0.637449
47 94.471733 93.028952 0.617067
48 94.471733 93.032837 0.618245
49 94.471733 93.040994 0.620162
