

gen best mean std
0 56.864435 5.260642 17.109402
1 57.21004 9.674266 19.770567
2 65.74425 13.0184 21.255053
3 83.742332 16.600441 23.178172
4 84.767552 19.220132 23.959094
5 84.767552 21.338435 24.21269
6 85.413791 23.942698 24.208314
7 85.413791 26.834992 24.618798
8 87.011736 28.748299 25.396117
9 87.011736 30.78357 25.198748
10 87.011736 32.323965 25.350647
11 87.011736 33.30542 25.208767
12 88.344008 34.601493 25.080727
13 88.344008 36.245515 25.056666
14 88.344008 37.887068 25.632473
15 88.344008 39.247636 25.662988
16 88.344008 41.219437 25.34621
17 88.344008 42.203413 24.87876
18 88.344008 45.175232 24.9651
19 88.344008 46.260944 24.573708
20 88.344008 47.907937 24.852978
21 88.344008 49.257055 24.661387
22 88.344008 49.709063 24.517221
23 88.344008 50.966666 24.62995
24 88.344008 51.340053 24.54071
25 88.344008 52.606244 24.264137
26 88.344008 53.295464 23.647851
27 88.344008 54.628108 22.98341
28 88.344008 55.723059 22.953926
29 89.844163 57.305681 22.1745
30 89.844163 59.267914 21.208853
31 89.844163 59.633911 21.12661
32 89.844163 59.812703 21.14851
33 89.844163 60.26856 20.923512
34 89.844163 61.154923 20.390437
35 89.844163 62.223756 19.896296
36 89.844163 62.583847 19.957083
37 89.844163 63.130895 19.776626
38 89.844163 63.661483 19.364902
39 89.844163 63.931373 19.330258
40 89.844163 64.010273 19.101394
41 89.844163 64.096003 18.97052
42 89.844163 64.572676 19.010242
43 89.844163 64.573738 19.009809
44 89.844163 65.068959 19.039081
45 89.844163 65.515726 18.745435
46 89.844163 65.814103 18.721951
47 89.844163 65.904397 18.656668
48 89.844163 66.219446 18.458777
49 89.844163 66.61398 18.620024
