

gen best mean std
0 92.382547 19.213466 36.118724
1 93.046571 25.207671 40.002878
2 93.046571 30.168787 40.955151
3 93.371732 34.053281 41.585188
4 93.371732 37.716264 42.236833
5 93.84188 40.857428 42.426167
6 93.84188 44.80394 42.217238
7 93.84188 49.400566 42.326044
8 93.84188 52.924349 42.305371
9 93.84188 53.155163 42.329513
10 93.84188 56.701355 41.376053
11 93.84188 58.123931 40.719292
12 94.097405 60.612412 40.067516
13 94.336695 61.57875 39.897032
14 94.336695 61.620099 39.875602
15 94.336695 63.708975 38.788853
16 94.336695 64.768554 38.789827
17 94.336695 66.320745 37.945446
18 94.336695 68.922028 36.948602
19 94.336695 69.854936 36.483098
20 94.336695 70.158939 36.235625
21 94.336695 70.864044 35.950032
22 94.336695 71.529541 35.974778
23 94.336695 71.621864 35.99442
24 94.336695 72.864899 35.479208
25 94.336695 72.908917 35.471289
26 94.336695 72.923954 35.475897
27 94.336695 73.846627 34.8213
28 94.336695 74.049213 34.88697
29 94.336695 74.92915 34.181603
30 94.336695 74.95897 34.196496
31 94.336695 74.970574 34.201905
32 94.336695 75.004816 34.204478
33 94.336695 75.040114 34.220926
34 94.336695 75.075945 34.238999
35 94.336695 75.544881 33.747236
36 94.336695 76.148714 33.646991
37 94.336695 77.006121 32.85595
38 94.336695 77.019296 32.862099
39 94.336695 77.045116 32.873666
40 94.336695 77.053185 32.877184
41 94.336695 77.638022 32.531614
42 94.336695 77.675286 32.548035
43 94.336695 78.553731 31.687837
44 94.336695 78.581687 31.696901
45 94.336695 78.615942 31.708772
46 94.336695 78.652145 31.722997
47 94.336695 78.673899 31.731609
48 94.552404 78.694742 31.740998
49 94.552404 78.703589 31.745003
