

gen best mean std
0 92.353561 27.231755 37.937736
1 92.710119 44.207242 40.571238
2 93.321683 59.452611 37.565437
3 93.321683 72.023495 31.975799
4 93.321683 78.856464 26.76667
5 93.321683 84.00039 20.531034
6 93.321683 86.120838 17.166788
7 93.678736 88.302684 13.91635
8 93.678736 89.969866 9.200547
9 93.678736 91.382756 2.747207
10 93.678736 91.492705 2.725618
11 93.678736 91.565574 2.724011
12 93.678736 91.659921 2.705342
13 94.21124 91.76995 2.734933
14 94.21124 91.7848 2.73674
15 94.21124 91.856752 2.729476
16 94.21124 91.908577 2.711259
17 94.21124 92.15049 0.902522
18 94.21124 92.228488 0.912339
19 94.21124 92.264911 0.906776
20 94.21124 92.278199 0.899323
21 94.21124 92.30238 0.876179
22 94.21124 92.325416 0.873196
23 94.21124 92.335948 0.875831
24 94.21124 92.386677 0.882057
25 94.21124 92.440481 0.730256
26 94.21124 92.455386 0.72916
27 94.21124 92.462768 0.732624
28 94.21124 92.475733 0.723872
29 94.21124 92.476465 0.725358
30 94.21124 92.476465 0.725358
31 94.21124 92.515481 0.722333
32 94.21124 92.540141 0.714616
33 94.569365 92.557456 0.736453
34 94.569365 92.590657 0.742034
35 94.569365 92.61935 0.741734
36 94.569365 92.620785 0.742199
37 94.569365 92.64671 0.738937
38 94.569365 92.699396 0.736789
39 94.569365 92.723123 0.735643
40 94.569365 92.735321 0.722649
41 94.569365 92.739079 0.719822
42 94.569365 92.758203 0.707094
43 94.569365 92.775812 0.722451
44 94.569365 92.783917 0.721016
45 94.569365 92.791539 0.715416
46 94.569365 92.829273 0.703515
47 94.569365 92.834876 0.698957
48 94.569365 92.861611 0.690451
49 94.569365 92.875417 0.670639
