

gen best mean std
0 88.503942 9.475553 28.647868
1 89.027371 18.949113 34.432785
2 90.446602 27.552162 38.546814
3 90.446602 34.085723 38.807911
4 90.446602 39.045135 38.988609
5 90.446602 45.611292 39.933512
6 90.446602 50.287406 39.200061
7 90.986602 59.552084 37.525946
8 90.986602 67.30718 32.874575
9 91.673548 74.138081 28.12709
10 91.673548 79.755573 22.142466
11 91.673548 80.889176 20.788094
12 91.673548 82.639522 17.392006
13 91.673548 84.015269 15.049252
14 91.673548 85.129043 11.141456
15 91.673548 86.496629 5.88775
16 91.673548 87.19696 1.578113
17 91.673548 87.314044 1.626431
18 91.673548 87.349865 1.627015
19 91.673548 87.383403 1.613929
20 91.673548 87.49092 1.71108
21 91.673548 87.618568 1.75598
22 91.673548 87.646608 1.752256
23 91.673548 87.649949 1.749655
24 91.673548 87.714271 1.763694
25 91.673548 87.761473 1.766646
26 91.673548 87.806993 1.77295
27 91.673548 87.8591 1.816908
28 91.673548 87.889366 1.812549
29 91.673548 88.061934 1.853133
30 91.673548 88.090228 1.869074
31 91.673548 88.136945 1.878332
32 91.673548 88.187446 1.91398
33 91.673548 88.200922 1.917414
34 91.673548 88.203374 1.915444
35 91.673548 88.222534 1.910216
36 91.673548 88.390125 1.930691
37 93.700945 88.428879 1.978084
38 93.700945 88.570736 2.021767
39 93.700945 88.604901 2.015305
40 93.700945 88.607033 2.013387
41 93.700945 88.679945 2.00707
42 93.700945 88.737971 1.986025
43 93.700945 88.792182 1.949373
44 93.700945 88.834733 1.921203
45 93.700945 88.870759 1.916617
46 93.700945 88.917695 1.908612
47 93.700945 88.939709 1.909003
48 93.700945 88.973648 1.890286
49 93.700945 89.097227 1.925056
