

gen best mean std
0 92.788354 35.114234 42.195481
1 92.788354 50.105485 42.931038
2 93.439465 55.599681 41.645669
3 93.439465 56.939748 41.36318
4 93.439465 62.082428 39.554838
5 93.646708 65.029452 38.322573
6 93.646708 71.936561 34.748668
7 93.646708 73.52479 34.117095
8 93.646708 75.883358 31.676218
9 93.646708 76.797021 31.043511
10 93.646708 78.741623 28.9874
11 94.032976 81.464749 26.097217
12 94.032976 83.429844 23.693879
13 94.032976 84.838982 22.052652
14 94.032976 86.567646 19.305075
15 94.032976 87.313195 18.119107
16 94.032976 87.868137 17.648079
17 94.032976 87.988 17.204959
18 94.032976 89.508626 13.928034
19 94.032976 89.576434 13.938266
20 94.14188 90.55709 10.839815
21 94.14188 90.617796 10.847396
22 94.14188 91.556917 6.339865
23 94.14188 91.609461 6.340228
24 94.14188 91.65374 6.340005
25 94.14188 92.310211 0.93075
26 94.14188 92.381307 0.828551
27 94.454024 92.482365 0.855475
28 94.454024 92.576885 0.84536
29 94.454024 92.582634 0.840103
30 94.454024 92.609013 0.83877
31 94.454024 92.616638 0.837927
32 94.454024 92.669175 0.843585
33 94.454024 92.715383 0.848572
34 94.68272 92.801172 0.847617
35 94.689365 92.827095 0.835466
36 94.689365 92.839009 0.844395
37 94.689365 92.851112 0.841411
38 94.689365 92.857812 0.832963
39 94.756054 92.923035 0.814763
40 94.756054 92.95469 0.803003
41 94.756054 92.987052 0.781155
42 94.756054 93.008131 0.761145
43 94.756054 93.036148 0.7713
44 94.756054 93.06633 0.775806
45 94.756054 93.084084 0.769905
46 94.756054 93.098658 0.760704
47 94.756054 93.113358 0.75655
48 94.756054 93.140117 0.767001
49 94.816054 93.153367 0.781798
