

gen best mean std
0 88.351054 21.368244 34.891443
1 91.133548 29.312175 36.558847
2 91.133548 45.483071 38.005351
3 91.133548 55.609191 36.709397
4 91.133548 64.589772 32.175158
5 91.133548 70.621005 29.37886
6 91.192977 76.263854 22.978185
7 91.192977 82.942342 14.454338
8 91.192977 84.548319 10.309427
9 91.362264 85.551918 8.213613
10 91.362264 86.620108 4.188222
11 91.362264 86.644798 4.187001
12 91.362264 86.803021 3.315923
13 91.362264 87.128858 1.430663
14 91.362264 87.16568 1.441325
15 91.542264 87.200008 1.464725
16 91.542264 87.285513 1.515756
17 91.542264 87.300119 1.511587
18 91.542264 87.381084 1.565154
19 91.542264 87.405514 1.569182
20 91.542264 87.411778 1.565105
21 91.542264 87.433651 1.557395
22 91.542264 87.449771 1.551899
23 91.542264 87.456761 1.5507
24 91.542264 87.541501 1.593158
25 91.542264 87.608638 1.623548
26 91.542264 87.625848 1.61571
27 91.542264 87.677022 1.652414
28 91.542264 87.725165 1.650554
29 91.542264 87.731101 1.646771
30 91.542264 87.754244 1.642954
31 91.542264 87.781071 1.638299
32 91.542264 87.786419 1.639685
33 91.542264 87.83619 1.676973
34 91.542264 87.83919 1.67494
35 91.542264 87.876261 1.689096
36 92.562547 87.984659 1.765455
37 92.562547 88.034637 1.7534
38 92.562547 88.134653 1.782719
39 92.562547 88.141378 1.782793
40 92.562547 88.144813 1.784428
41 92.562547 88.145288 1.783952
42 92.562547 88.145288 1.783952
43 92.562547 88.300451 1.831532
44 92.562547 88.328726 1.82638
45 92.562547 88.354754 1.843
46 92.562547 88.422375 1.861367
47 92.562547 88.423506 1.861668
48 92.562547 88.528043 1.890433
49 92.562547 88.616709 1.873795
