

gen best mean std
0 19.517014 -1.754014 6.217897
1 23.941531 0.640887 7.480509
2 23.941531 2.641197 7.997822
3 38.318787 4.376737 8.613604
4 38.318787 7.438707 9.626862
5 38.318787 10.050775 9.903726
6 38.318787 12.036149 9.608382
7 38.318787 13.652966 9.196698
8 38.318787 14.343388 8.835821
9 38.318787 15.650981 8.66383
10 38.318787 16.683588 8.603077
11 38.318787 18.28331 8.021217
12 38.318787 20.827938 7.906488
13 38.318787 22.698167 7.509312
14 38.318787 24.991573 7.463584
15 43.484171 26.348468 7.244271
16 43.484171 28.164798 7.178898
17 43.484171 29.182597 6.863704
18 43.484171 29.880105 6.846593
19 43.593634 30.76843 6.791752
20 43.593634 31.808242 6.450491
21 43.593634 32.622284 6.016226
22 43.593634 33.115605 6.000044
23 43.593634 33.967125 5.638316
24 45.62205 35.005679 5.496846
25 45.62205 35.699545 5.460531
26 45.62205 35.860393 5.434116
27 46.726216 36.67363 5.47741
28 46.726216 37.503289 5.00803
29 46.736161 38.182356 5.032007
30 46.736161 38.92937 5.036108
31 47.458917 39.888913 4.935871
32 47.458917 40.714684 5.020064
33 47.458917 41.073592 5.099096
34 47.461339 41.5826 5.07382
35 47.461339 42.432127 5.169821
36 47.461339 43.136401 5.211895
37 47.461339 43.541456 5.185676
38 47.461339 43.732074 5.207341
39 47.461339 44.111757 5.123238
40 47.461339 44.424997 4.812708
41 47.461339 44.611481 4.626086
42 47.461339 44.855977 4.352697
43 47.461339 44.967655 4.278924
44 47.461339 45.049802 4.27473
45 47.461339 45.222094 4.017832
46 47.461339 45.385179 3.952296
47 47.461339 45.392381 3.955408
48 49.652421 45.514372 3.997221
49 49.652421 45.555079 4.011479
