

gen best mean std
0 19.070482 -2.167807 5.644834
1 25.222685 1.546853 7.398735
2 25.222685 5.186679 7.999232
3 33.458815 10.20575 10.036738
4 33.458815 14.889454 10.68347
5 37.222851 18.055991 10.938753
6 38.27659 20.24594 10.82825
7 38.27659 22.101526 10.711612
8 38.293608 25.095659 10.160798
9 38.590789 27.208739 9.601167
10 38.590789 29.21798 8.556294
11 40.127744 30.570236 8.036196
12 40.127744 31.610856 7.65913
13 40.127744 32.490984 6.971301
14 40.127744 33.729907 5.948392
15 40.151153 34.513808 5.530384
16 40.151153 34.770346 5.402125
17 40.151153 35.337912 4.912584
18 40.151153 36.06046 4.5644
19 40.187768 36.469988 4.368523
20 40.18978 36.699085 4.204137
21 40.18978 36.782951 4.112293
22 40.18978 37.029377 3.773444
23 40.18978 37.294825 2.549127
24 40.18978 37.48443 2.428254
25 40.18978 37.653404 2.130097
26 40.18978 37.850815 1.983256
27 40.18978 37.997096 1.611653
28 40.18978 38.048718 1.619221
29 40.18978 38.12419 1.517999
30 40.193834 38.263765 1.447903
31 40.193834 38.433304 1.244504
32 40.193834 38.502269 1.26123
33 40.193834 38.52269 1.271833
34 40.193834 38.542418 1.267399
35 40.193834 38.607094 1.232441
36 40.193834 38.627579 1.243731
37 41.007739 38.687327 1.262398
38 41.007739 38.692686 1.261482
39 41.007739 38.693448 1.261239
40 41.007739 38.725144 1.21059
41 41.007739 38.744693 1.218301
42 41.007739 38.835968 1.091703
43 41.007739 38.858115 1.036619
44 41.007739 38.886975 1.0307
45 41.007739 38.946921 0.928902
46 41.007739 38.965982 0.934513
47 41.007739 38.978169 0.933457
48 41.939022 39.052061 0.984127
49 41.939022 39.13862 0.976184
