

gen best mean std
0 16.212183 -3.138001 5.122167
1 19.450304 0.099642 6.601791
2 20.690053 3.279819 6.444983
3 20.690053 5.517704 6.528993
4 20.690053 8.021874 6.459639
5 27.27367 10.22816 6.546301
6 28.087549 12.465873 6.537741
7 28.087549 13.32935 6.459363
8 28.966359 14.892122 6.221944
9 34.894286 17.424457 6.935517
10 37.820437 20.173705 6.577469
11 37.820437 23.111637 6.485157
12 37.820437 24.439946 6.214677
13 39.797018 26.252203 6.539244
14 46.395623 29.001194 6.929974
15 46.41261 31.381483 7.81013
16 46.41261 33.645188 7.33501
17 46.41463 35.687502 7.329597
18 46.45803 38.362497 7.452532
19 48.361428 39.990224 7.205414
20 48.36739 41.532382 6.451858
21 48.36739 42.622981 5.957836
22 48.36739 43.579752 5.517698
23 49.893275 44.067292 5.400963
24 49.893275 45.225435 4.564954
25 49.893275 45.80798 4.345494
26 49.893275 46.18745 4.10603
27 49.893275 46.563459 3.93213
28 49.893275 46.991261 3.340647
29 49.893275 47.407817 3.095596
30 49.893275 47.858157 2.47774
31 49.893275 48.073558 2.367983
32 49.893275 48.192348 2.354636
33 49.893275 48.402727 2.060173
34 49.893275 48.632066 1.753998
35 49.893275 48.764742 1.425842
36 49.893275 48.967429 1.100599
37 49.893275 49.097647 1.034578
38 49.893275 49.133259 1.030079
39 49.893275 49.209773 1.011536
40 49.893275 49.259731 0.972148
41 49.893275 49.345827 0.914682
42 49.893275 49.361145 0.910879
43 49.893275 49.381363 0.899869
44 49.893275 49.432219 0.878568
45 49.893275 49.493504 0.854963
46 49.893275 49.507856 0.814248
47 49.893275 49.523338 0.80659
48 49.893275 49.538663 0.79892
49 49.893275 49.559115 0.781379
