

gen best mean std
0 17.272348 -1.995895 6.457671
1 25.186737 1.903163 8.873723
2 25.640839 6.004739 8.848265
3 25.94216 9.12952 8.857746
4 31.543141 12.582914 8.051359
5 39.856842 16.628272 9.458835
6 39.856842 20.007442 9.354565
7 41.073121 22.882211 8.553512
8 41.478187 23.924784 8.516168
9 41.478187 25.705491 8.585831
10 41.478187 27.637472 8.482304
11 41.478187 29.012847 8.492236
12 41.478187 30.024039 8.23479
13 41.478187 31.080317 8.022751
14 41.478187 31.852566 7.900102
15 41.478187 32.941 7.567575
16 41.478187 33.610051 7.412737
17 41.478187 34.500028 7.18406
18 41.478187 35.058228 6.943109
19 41.479388 35.577412 6.876964
20 41.479388 36.147373 6.412812
21 41.479388 36.406822 6.335585
22 41.479388 36.890777 5.633451
23 41.479388 37.549445 5.138509
24 41.479388 37.716962 5.053476
25 41.479388 38.198837 4.142239
26 41.479388 38.349712 4.153498
27 41.479388 38.42017 4.162886
28 41.480071 38.665971 3.99625
29 42.818588 38.754498 3.99628
30 42.818588 38.837398 3.978236
31 42.818588 38.938027 4.000235
32 42.818588 39.08449 3.879193
33 42.818588 39.318938 3.176367
34 42.818588 39.362843 3.162677
35 42.818588 39.489459 2.885599
36 42.818588 39.494357 2.885534
37 42.818588 39.538574 2.875318
38 42.818588 39.603777 2.865585
39 42.819886 39.748051 2.895213
40 42.819886 39.832538 2.915313
41 42.819886 39.937393 2.78984
42 42.819886 40.01369 2.802888
43 42.819886 40.132226 2.710435
44 42.819886 40.21887 2.486677
45 42.819886 40.235627 2.489344
46 42.819886 40.340517 2.505929
47 42.820511 40.454355 2.502604
48 42.820511 40.502377 2.52278
49 42.820511 40.553381 2.484974
